# Generated 2021-08-02 21:15:02.848411
count,subdomain
30829870,www
11607854,*
6942588,mail
5356517,webmail
5010077,cpanel
4993340,webdisk
2807539,autodiscover
1977137,sni
1536549,cpcontacts
1536544,cpcalendars
485425,com
419342,dev
373434,test
342718,staging
323887,blog
263254,m
257821,mesh
207542,shop
188708,demo
182685,api
171052,vpn
129479,whm
126992,store
119516,admin
113006,database
106702,app
105349,ftl
105158,ftp
104138,smtp
103283,storage
93947,cloud
90025,old
86448,tls
85178,magento
82760,es
80832,azurecertificateservice
77724,en
77110,bastion
76198,ipv6
76012,pop
73954,azure
73599,web
72887,eu
71168,prod
70586,us
66010,beta
62254,new
57929,ap
57843,gcp
56384,1
52391,support
52227,us3
51387,org
50646,cloudapp
50356,www.test
48391,us2
47575,secure
46989,containers
46701,stage
46606,core
46055,www.dev
45571,cdn
45125,p
44394,wp
44368,eu2
44086,br
43964,kafka
42587,crm
42243,admin-eu
42048,admin-us
41997,net
41530,portal
41390,office
40509,admin-us2
40042,co
39724,www.blog
38355,multidomain-prober
38330,mobile
37874,us-east-1
37454,forum
36959,multisan
36941,media
36882,worker
36190,cache
35935,stg
35615,de
35376,in
35366,redis
34613,fr
34466,jp
33628,*.1
33245,au
33071,sandbox
32963,redirect
32911,wordpress
32858,my
32294,uk
32155,imap
31715,wap
30712,static
