# Generated 2021-10-12 00:15:25.517125
count,subdomain
31729507,www
12130614,*
7085923,mail
5460706,webmail
5102837,cpanel
5084127,webdisk
2854771,autodiscover
2019821,sni
1625107,cpcontacts
1625094,cpcalendars
508787,com
441202,dev
389564,test
358879,blog
358733,staging
275711,mesh
273125,m
220048,shop
200323,demo
194053,api
178276,vpn
135343,store
132520,whm
127737,database
126587,admin
113379,storage
112721,app
112674,ftp
110087,smtp
110040,ftl
98780,old
97969,cloud
97469,es
92137,magento
89104,tls
86800,azurecertificateservice
83590,bastion
81992,en
81185,azure
80985,pop
79484,web
78539,ipv6
77626,prod
76051,eu
73424,us
69792,beta
66485,new
60274,ap
59624,1
59223,gcp
55568,support
54302,us3
53866,cloudapp
53639,org
52126,www.test
50900,kafka
50656,core
50487,us2
49989,secure
49250,containers
48756,stage
48593,p
48027,direct
47623,www.dev
47449,cdn
46634,br
46457,eu2
46056,wp
44778,crm
44314,admin-eu
44117,admin-us
43962,net
43943,us-east-1
43625,portal
43140,office
42577,admin-us2
42152,co
40830,www.blog
39711,cache
39701,mobile
38980,worker
38708,redis
38481,forum
38463,media
38355,multidomain-prober
38249,multisan
37965,stg
37674,de
36783,fr
36075,in
35879,jp
35876,hanacloud
35520,*.1
35000,sandbox
34459,my
34359,au
34146,wordpress
34074,uk
33539,redirect
33532,imap
33449,us-west-2
32584,wap
32246,autoconfig
31677,gtr-dev
31671,static
31572,wiki
31322,s3
31011,www.mail
30374,acmeproxy-md
30071,aws
30065,status
29536,apps
29406,ctn
28529,www.shop
28377,a
28221,email
28116,admin-eu2
27854,admin-us3
27640,qa
27338,server
27335,hostmaster
27200,r
26914,git
26284,home
26230,info
26222,mdp
26129,news
25983,atlas
25369,testing
25322,www.demo
24791,usdemo
24640,postgres
23722,vpce
23644,us-w
23575,account
23315,cloudax
23246,remote
23236,ssl
23132,magento2
22962,cms
22875,us-e
22850,preview
22622,preprod
22227,test-5
22098,anycast
22085,*.r
22081,mx
21990,*.prod.ftl
21990,*.ftl
21990,anycast.ftl
21990,*.staging.ftl
21966,test-3
21910,chat
21752,test-4
21694,test-2
21692,test-1
21498,go
21325,it
21132,login
21070,ww1
20991,ba
20824,ru
20802,control
20449,mgames
20442,gameflex
20441,www.m
20216,scm
19997,file
19941,*.blog
19820,site
19770,nl
19760,liveupdate
19613,www.new
19535,gitlab
19458,loadtesting
19444,*.ba
19273,sites
19225,files
19185,mysql
19112,www.staging
19086,dashboard
18997,c4
18800,scep
18682,blob
18588,docs
18439,le
18367,help
18336,us-south
